rating,text
negative, We visited this pub earlier this evening Not impressed at all Slow service over cooked food in a cold environment Nothing more to say other than we won t be visiting this place again 
negative,Nothing  Called in at the Cool River Cafe yesterday for a breakfast Arrived at 11 10am and placed our order for a full English for 2 people  At 11 45 we asked when the food would be delivered to our table and 5 minutes later we were told that the order hadn t made it to the kitchen and that the chef was now refusing to cook breakfasts We decided to then order something from the lunch menu  Thinking that having already been made to wait 35 minutes the cafe would make an effort to get our second order to us quickly we finally gave up at 12 10pm when there was no sign of our food arriving  We did have a coffee and it was OK not breathtakingly good or bad The cafe seems to be ok at serving cakes and drinks but hot food seems to be an issue In our hour sat there we saw other people get up to leave having either not been served or having waited too long for their order  I m not sure if it was a bad day for the establishment but I won t be going back to find out if it was  Very disappointing 
negative, I popped in on way back home after work There place had no redeeming features The food and staff were slightly below average Sorry 
negative, On holiday with family and asked a local in our hotel where was a good place to go for a cheapish basic meal He recommended The Bowling Green  wish I d checked TripAdvisor like I normally do before deciding to go anywhere - I d say the recent reviews are probably accurate When we arrived things didnt look good lots of tables uncleared one table full of dirty glasses that staff hadnt got round to sorting customers including me waiting at the counter to be served I ordered our drinks and then asked for 2 carverys time was 18 30 i was told there was no meat remaining the only food available to us was battered fish shepherds pie or a balti pie It was past my 15 month old daughters tea time and since she was getting upset felt we couldn t now go elsewhere Both pies were on the carvery counter they looked dried up I should have refused them and asked for my money back the vegetables from the carvery section also were dried up or practically gone I had the last chips with people behind me with fish now needing chips but none for them There were a number of people complaining formally and informally I have to say the food was a bad as it looked   only paid 12 for the food and drinks but it wasn t even worth that Our soft drinks in pint glasses were even about 20mm from full I wouldn t return here for a free meal one of the worst meals I ve ever had 
negative, Rude Waitresses that don t know food or wine  Chefs that cannot cook How can you ruin a steak they can  Ludicrous west end like prices  A bit like Fawlty Towers in Honor Oak Go along and watch the shambles 
negative, The restaurant at the hotel advertises lunch etc  so we took our family there over Easter Monday we were told to be out of the place by 5 because they had a big party however the waitress was soon explaining that lots of food had run out and more amazing was that they had no bottle beer the service was bad slow and always forgetting items so much so that they took 30 off the bill we waiting some 1 and half hours for the first course and spent some 2 hours more eating or waiting a great pity since the location is great but the service and supply of essentials is miserably lacking 
negative, We were attending an event in Walsall and noticed Table Table was only a mile from our hotel We downloaded a menu and it looked quite exciting We arrived and ordered and our excitement went rapidly downhill The chicken ham and mushroom pie looked impressive but was literally full of hot air very little filling and don t order mash with it you will only get a sliver The lasagne looked nice and tasted good but was only about half an inch thick Our fourth member ordered salmon but it was very dry The meal wasn t cheap 55 for 4 including a drink each but it was the portions which was surprising and I don t think it was just me it looked pretty quiet for a Saturday evening 
negative, Upon first entering the venue I should known straight away this wasn t going to be the experience I hoped for in a picturesque place of Lacock As we looked for a table we were greeted  I mean shouted at by a man who I assume from other reviews is the manager of the pub He informed us that as we were a party of 3 2 adults and a 3 year old  we could not sit at a square table out the front for 4 people Never have I heard this before  and therefore we would have to go out to the back on a small round table where flies were abundant Personally I do think they want children to be in the venue even though they offer a children s menu  Anyway after taking up his generous offer of the table out the back little one was very hungry  we ordered food after a mere 50 minute wait we were bought over some average food but to be honest we were so hungry we didn t care  Personally I don t think they can handle busy periods and multiple food order  Finally to tick all the boxes they got our bill incorrect and added another tables food order to our order  Sigh   To be honest this is the first negative review i have made on trip-advisor however we were appalled at this man s customer service skills  Not just to us but to anyone coming into the venue  short answers refusal to serve food due to number of people in the party along with his tone of voice  However I must confirm that the waitresses who work at the venue are very pleasant Overall the upshot is terrible place and will never return which is a shame as it could be a lovely place 
negative, Christmas Day lunch Taken to table 35mins after booking time Previous party s mess under table Food was very poor  How do you eat sorbet with a fork No staff What a waste of money  
negative, We came to Bella Italia needing a late lunch and we had been a few years back and it had been acceptable The menu looked so good My chose a spaghetti with prawns and a pot of mint tea and she said it was OK and the portion of prawns was generous But we asked for some breads to go with our meal with an Olive Oil Balsamic vinegar bowl and this turned up at once rather than with our main courses To our horror the Olive oil and Balsamico would not combine - all we got was the taste of Olive Oil For my meal I chose a Lamb dish with pasta choosing to have a spiralised vegetable serving which they offered instead of having the pasta It was disgusting The vegetable combination was fine but it was served in a thin sauce and there were no pieces of lamb at all only a few tiny shred of minced lamb To make matters worse I had ordered a glass of the house wine and would you believe it they told me that they were sold out at only 2 30pm  of the house wine From my wife s perspective it was just Ok but from mine it was awful - I don t understand how this place remains in business it used to be very acceptable 
negative, This used to be a well managed operation with good food and service     I would recommend NOT going to this restaurant unless you don t mind paying high prices receiving at best Luke warm average food together with service that is pretty much non existent  It takes a lot for me to write and complain but this place needs completely new management 
negative, Lovely friendly waitress willing to help with accessabilty problems Food ordered was delivered incorrect tried a second time food arrived wrong again and skewers were cold Toilets were dirty Customers were packed in like sardines Give this place a miss 
negative, Have been on a diet and was looking forward to my cheat day after a 50mile bike ride but the reality between what I was hoping for and what we received was so far apart   We went for the sharing tray at 40 there was no onion rings clearly they buy them in frozen as how there is many supermarket around to buy more instead we could have some extra fries there was more fries than meat  The pulled pork was cold dry and very poor The beef brisket was the only thing that was good the ribs were dry overlooked and Luke warm and the chicken was so dry couldn t eat it The mac n cheese was nice and hot  But I went to grill stock for some bbq meats and was sadly left disappointed  I would never return and never recommend with the grill stock festival I Bristol this weekend maybe they should pay more attention to the food they actually serve in the restaurants that are living off the name 
negative,Late night stop for a coffee soya cappuccino and a regular cappuccino and whilst being served by Brice who was really nice we asked if there was anything to eat which was wheat and gluten free as my wife hadn t eaten and has coeliac disease I ve unable to eat wheat or gluten containing foods Over the shoulder of Brice the gentleman who was preparing the coffee said that wheat and gluten free are not our core customers thereby immediately excluding my wife as a customer and certainly showing a very interesting form of disrespect and prejudice against her condition As it was we then declined whatever foods were on offer and took the coffee with the gentleman barista exclaiming it must be my English you didn t understand     heck no we understood perfectly and I was of a mind to ditch your coffee too and go to Starbucks opposite Time for the fast food outlets to realise they have multiple sources of customer and I for one will now be advising people to choose other than Pret A Manger I am disappointed and disgusted at this lack of interest in a section of the community I shall be contacting Clive Schlee the CEO when I have the opportunity on Monday The coffee was OK no great shakes and the service by Brice was perfect and very friendly   his colleague the barista gentleman was a total waste of space Last chance Pret A Manger and you lost 
negative,Popped in a short while ago with friends we often do being very local and very regular Today there was ten of us and we had with us our cocker spaniel also a frequent visitor to the pub He s with us for drinks and he s with us when we order food one of the family  So I was very disappointed when I was told upon arrival that we couldn t have the dog on the carpeted area this being most of the bar So our daughter returned home with our dog who incidentally is a highly trained and extremely obedient gun dog  Imagine our disgust when not five minutes later a party was shown to their table with a dog Seated at their table on the carpeted area  What s going on White Horse One rule for the regulars that have spent many hundreds of pounds with you held functions and parties there and one rule for the others Shame really we ve put up with the increasing prices and diminishing service poor quality frozen re-heats and the reductions in portion sizes  But this for us was the final straw the friendship of Derek and some staff can now no longer outweigh all the failings  Thanks and goodbye 
negative, The staff are in serious need of customer service course the food needs to be cooked properly and the tables cleaned a little more often  It took 50mins for them to serve up a burger a gammon steak and two pies At one point the waitress brought the dessert menus over cos she thought we d already had our food  It wasn t like they were rushed off their feet   This place badly lets down a chain of restaurants that is usually very good  Normally I would have complained but - I just couldn t be bothered Just paid up and left In fact I suspect that if we had just got up and walked out without paying we d have been twenty minutes down the road before anyone noticed  Seriously - don t 
negative, I am trying again tonight  I have had to leave on 4 previous visits due to non-availability  I am trying to make a go of this with a family that support the harvester on a weekly event supporting the North London branch  have found it may come to an end  I have a 17 month old child and Wife that have been even offered by the manager let s call her Mrs C for protection of her rights has promised us that we will be fast tracked on our next visit due to the past inconvenienced visits so I will give them a try tonight at 6 30 hoping they will be free I have been told I will get a seat as they don t normally reserve seats Except on Mon  Thur So let s get the inspection report out and let you all know what the outcome is 
negative, The last 4 reviews can t be wrong and they re not It s so tacky in this place and the food is offensively average Avoid 
negative, I visited the Cunning Man with 6 members of my family to celebrate my daughter s birthday She booked a table for 5 30 pm as we had 2 young grandsons with us and did not leave the restaurant until after 8 00 pm Far too long for a 2 course meal with 1 round of drinks Twice our son-in-law had to take his 4 year old for a walk as he was getting restless We were kept waiting when we arrived before being shown to our table we had to wait to place our drinks order which then took some time to arrive We were then approached by a waiter who said he was looking after us we placed our food order and then informed there would be a 30 minute wait this was probably more like 40 minutes The food to be fair was not too bad although the vegetables could have been warmer The waiter asked if we wanted to see the dessert menu but in such a way that he did not really want us to we had already decided that we would forego a starter in favour of a dessert so we did order It probably took another 30 minutes for our desserts to arrive and when they did the custard on 3 of them was cold with a thick skin on top The staff did not appear to be enjoying their work and some were quite rude The manager was going around in a panic trying to pacify what appeared to be quite a few disgruntled customers I actually overheard him say to one couple as he sat them down not to judge the Cunning Man on tonight as there was a new menu which meant everything had to be cooked from fresh and they were struggling to keep up I can only judge from my experience on the night and will not be returning By the time we left people were leaving due to the number of items unavailable To top everything off the waiter tried to overcharge me on my debit card when I pointed out that the amount was different to that shown on the bill he apologised and said he must have input the wrong number 
negative, This pub has got another TripAdvisor page as Branocs Tree This review is just a copy of the one I left under Branocs  Just been to new Branocs Hungry Horse  What a disaster Food took almost an hour to arrive we were told maximum 40 minutes wait when we ordered at the bar When we got our food chips were cold roast potatoes cold my dad s steak was supposed to be medium and was so well done he couldn t cut it We complained and was waiting another 15 minutes for replacement Bar prices very steep have been to few hungry horses is Essex and Braintree was so expensive - more than 50p per pint of lager Apart from one in Rochford we were there last summer and found staff rude we always love visiting hungry horses we always eat in Laindon and sometimes in Harlow food is always within 30 minutes on Sundays and staff are so nice and helpful Don t expect it in Branocs We were sitting next to the kitchen on the booth and all we could hear was staff complaining about each other and manager Geoff Apparently another manager Lee is on holidays and Geoff guy cannot run pub at all without the other one Apparently staff cannot believe that Geoff still have a job because all he does when he works is stand in kitchen and is afraid of serving customers That s not something that you want to hear from staff when u waiting for your food Found whole visit very poor The only good point was lovely decor of the pub we wish our local in Laindon looked like that 
negative,Very very expensive For quality of food Potato skins tasteless Oven chips says it all Pudding Tesco do better 
negative, This pub should be the busiest pub in Bexley it s in a gorgeous old building in a park full of families but no The staff are rude and lok like they haven t changed in a week none of the 3 real ales were available and half of the lagers and the Guinness were out too and they only had 1 available wine choice on a Saturday afternoon in addition to that the amount of people sending their food back for being wrong or inedible was shocking and I chose not to order the place is a disgrace to the chain that owns it 
negative, meal for 1 quarter of pizza had topping stone cold and staff said it happens sometimes Will never return to this sub standard hut 
negative, Seems all ok from outside but do not be deceived Food cold food old food is simply poison You will I repeat want will get food poisoned Drinks well overpriced Staff pretend to be nice until you don t want to pay for the rubbish you have eaten Please stay away if you love the people you are with  
negative, To start off with the good reviews must be from those drinking in the working and club down the street as you would have to be drunk to eat at Red luck It s never been the best looking place and the food is so discussing over cooked burnt really heated ribs very bland food As for to separate things and they put them together I ve lived in the area for 10 yrs and I ve never seen or had a bad discus tic Chinese than I and my family have had from Red Luck 
negative, The below info was submitted via there contact details on there website  Although I did specify I don t expect a reply  they really didn t reply Is this arrogance or just ignorance I certainly will not be visiting here again and such a shame as this place used to be terrific and the village is brilliant  Lack lustre is what I would regard my experience today And my mother in laws birthday experience at the spotted cow can what only be described as cringeworthy  Waiting time to be seated AFTER time booked was 30 mins Soft drinks flat and poured from a plastic bottle Drink served in various odd types of an array of glasses More fat than meat on the carvers selection My meal from from the menu arrived 40mins AFTER my family had eaten My meal was under cooked and very very sub standard No check backs No cutlery provided and had to ask twice once food had arrived We were told deserts would be ten minutes when we had to order our own from the bar because we were sick and tired of waiting 30 minutes later deserts came undercooked cold and apples were hard with no pastry Once we returned them the second lot came out of replacement but again no cutlery provided No check backs AGAIN Toilets were a disgrace and I dont even expect a nightclub to be in that kind of order let alone a family pub Serious health and safety risk here No children changing area at all apart from a seat and when we informed with some feedback of this all we got was  ok  You had four children all of around 1-3 years old in the pub whilst our visit No real figure s of authority and seemed very disorganised through out the whole area  I m sorry that it has come to an email like this and I m not expecting any kind of response but me and my wife family have eaten at the spotted cow on numerous occasions and its been generally ok especially for me being a vegetarian However today was nothing but lack lustre and was such a shame We simply were given the back seat treatment  It looks like the spotted cow needs some love and attention with a dash of passion of service to the consumer and to the pub itself  I hope your able to take my feedback with an open mind and through the eyes of the consumer as I really don t expect the above at somewhere like your pub and I wouldn t anywhere even a Toby carvery which you would probably find 
negative, the food is nothing like that served by the original Wetherby Whaler  In Whetherby surprisingly  It was so bad we left the food 
negative, In preparation for a concert at the Echo Arena on Saturday 10th December we booked a table at 10 00am online for 4 people at 6 00pm the same day The booking app worked perfectly and we received a confirmation number in seconds  We arrived at the restaurant at 5 25 35 mins AHEAD of table reservation  checked in with the front desk and were directed towards the very small bar area  The restaurant was very busy and also had a ridiculously and intrusively loud wedding in their upstairs function area You couldn t hear yourself think it was so loud  At 5 55 I went to the front desk and they gave me one of those flashing bleepers that alerts you that your table is ready  At 6 10pm I asked the front desk if my bleeper was functioning or not I was told that it was and 2 minutes and your table is ready  At 6 20pm I reapproached the same front desk and asked the same question and was given the same answer  At 6 30 I handed the bleeper back to the front desk and stated that we were disappointed and that we had to leave as we had a concert to attend and no longer had sufficient time to enjoy a restaurant meal  The managaress kindly offered us complimentary drinks at the bar after your concert  We could only reply that we really wanted eastZeast food not complimentary drinks at the bar  You d think that having booked a table and had it acknowledged & confirmed 6 hours in advance AND having turned up 35 mins in advance AND having attended the front desk ahead of time due that we would have had the chance to eat but not so hence the headline utter shambles  Cannot judge the food Only wish we could  
negative, We arrived around 4pm pub was relatively quiet and initial service pleasant and efficient We ordered two beef and one chicken roast dinners plus one risotto  which I have to say was ok  Food was served within a reasonable time however the beef on both dinners was really tough chicken was edible but the accompanying roast potatoes on all the plates were overcooked mash was lumpy and vegetables tasteless We were just about to complain about the beef when one of the staff came over to ask if everything was fine He was informed about the beef to which he said he would go and speak to the chef We assume he did but never came back to report anything to us By this time our three roast dinners were somewhat cold and very unappetising and most of the food was left on the plates and when the waitress came to clear she asked if we were satisfied Same story NO beef tough and inedible will tell chef no feedback from her  We decided not to have a sweet or any further drinks At the counter we asked for the bill and whether there would be any reduction for the poor quality of the beef The member of staff who took the first complaint was called and a discussion followed again I will ask the chef the answer was no chef had said that the beef was perfectly edible We paid the bill left our email address and phone number asked that the manager call us to register our complaint and left very unhappy  Tuesday 29th November I received a call from a person stating to be the manager I explained what had happened following which the person said that she would need to investigate with the staff members concerned and that she would call me back the following day I AM STILL AWAITING THAT CALL  Sadly we did not check trip advisor prior to going to the Cross Keys if we had we probable would not have gone It is difficult to judge reviews as everyone can have differing expectations of food quality I would have to say having experienced the poor quality of food lack of customer service and a manager who cannot manage a chef who seemingly is incapable of delivering basic dishes warm and edible that TERRIBLE is the only review I can give this establishment You have been warned   
negative, Went to this buffet with my girlfriend on the jubilee weekend thinking it might be a nice place to go having looked on their website I was wrong The food was awful and boardering unedable All of it was luke warm dry and completely tasteless with very little variety of dishes thaty didnt even go together There was loud dance music blasting your ear drums out which made it like trying to eat in a night club The waitresses were young but pleasant but the older woman behind the bar the manager i assume was abrupt and quite rude Overall this was by far the worst food i have ever had from a restuarant and would never even contemplate going back Where some of these people who have left good reviews have been eating i dont know but it couldnt of been here Given the luke warm temperatures of the food and questionable cleanliness of the venue i would have to say food poisoning is certainly possible If you eat here good luck 
negative, Waitresses we re friendly food was pretty bad Portions are not as described and prices are more than double what is expect to pay for the quality and portion sizes Two starters two mains 3 cokes 61 Got 50 off food as we were unhappy still 40 Had better food at pubs 
negative, If you want to taste poor food and service in an intimidating environment then this is the place for you  
negative, Tried to enjoy the annual Black Bull FREE music festival again this year but the only choice of real beer on tap was Hobgoblin 4 5 ABV  served in a Greene King IPA glass and even that had run out by the time I returned at 9 00pm OK I KNOW this wasn t a beer festival but come on is this a pub or what Even before I bought a drink I was asked to contribute my hard-earned as a donation to the acts I hadn t even seen yet - go figure 
negative,Well where to start To be honest I wouldn t bother visiting for dinner Table for 15 and we were placed in two tables not a great start as the upstairs restaurant was hardly busy Staff were nonchalant not really on task and this was reflected by drinks and courses arriving 15mins difference between our two tables This is a modern restaurant yet it was smokey from the kitchen yet it had ventilation system in place necessitating the windows to be opened to clear and then subjecting us to cold winds  Starters were acceptable Main courses were poor and very poor well done venison was bleeding blue fish was cold steaks were cold Fortunately we couldn t comment on the desserts they did appear quite appetising but as we left after the main choice then that is for some else to review 
negative,Waited half an hour for a table which we didn t mind We ordered our food and unfortunately we were sat by the service area where the food was prepared We waited for over an hour and no main course appeared we ended up leaving which i was glad we did as we had the misfortune as to see them plate the food No gloves used when plating the food  
negative, Staff were arrogant food was disgusting watery sauce and not cheap the food was tasteless and cold I would never eat here again 
negative, Have been eating out in and around SE London for quite some time There used to be a number of good Indian restaurants in Greenwich however now there is only the Mogul left in the centre  We ve been here a few times over the years and has only got worse  Downstairs is quite nice as a cellar restaurant good atmosphere The food is ok good however their chefs can t cook anything that isn t on the menu Most places can and often encourage it here it s a straight no That isn t a huge issue  However since we last went some months ago they ve put their prices up Again not by a lot and not a big issue  At the end of the meal we was given the bill when asked However we d noticed that there were no hot towels When asked the waiter said the owner had got rid of them to save money So the prices have gone up and now a small thing such as towels are removed To wash up after your meal you have to climb three sets of stairs to get to the WC Not ideal  With the bill also was served a few murray mints when we jokingly said where are the chocolates have they been cut too the waiter could only shrug  I don t mind prices going up and the menu being strict However when they cut other things that you d come to expect to save a few pennies per meal it really is a joke  We ve said we wouldn t go back last time we went there but some how managed to end up back there This time its a definite will never go back  
negative, Arrogant waiters who were completely disinterested in our table of 6 The Food was cold and tasteless 
negative, I assume that the Brasserie Blanc is part of a chain of restaurants so will be inevitably be restricted by blanket unmovable policies I had an awful meal at this restaurant and my five other friends said that it was only just passable I am a vegetarian and the choice of food was limited The waitress said that it was not possible to alter the meals in any way nor have a mix and match combination She declined my request to speak to a Manager to discuss my options on the grounds that they were far too busy So in the interests of politeness I just shut up and said no more My food was simply awful and I had no redress at all I would never set foot in a Raymond Blanc establishment again under any circumstances The carnivores in out group had a slightly better selection but none of us would go back   Clearly training for staff in good customer relations should be a priority for this restaurant  but then I would urge anyone who wants a special meal to look elsewhere in Cheltenham for a better culinary experience 
negative,Fantastic location good premises this should be the best pub in the area Visited recently after long absence and unfortunately it is being let down by bad or non existent management bar staff try hard enough but are slow and can t remember who s turn is next food orders taken but long waits real ale all tasted like brown bath water  it looked like every glass and plate used that day was still on the tables with food & mess everywhere Things not helped by agressive and offensive punters by the door scaring off normal folks One day someone will turn this place round and make a fortune but don t hold yer breath
negative, I visited Young s for a takeaway after having pleasant meals from there in the past  Unfortunately the standard has dropped dramatically My wife ordered what was her favourite BBQ spare ribs and chips whilst i ordered jumbo battered sausage and chips  The spare ribs were laughable Extremely overcooked whatever little meat was on them my wife had one rib and decided that it was pointless to even try to eat the rest  My evening was then spent throwing up being sick from the sausage It was either out of date or undercooked  Very disappointing as this place used to be very good We will be ordering from another Chinese in future  If i could give this zero stars i would 
negative, Went to Hussains again after a very bad curry years ago Still the same had chicken tikka balti only had four very small pieces of chicken bland taste and very expensive for what you get if you want a proper balti spark hill is the only place I will never eat in Hussains again going to the toilet also an experience 
negative, There are two Beehive Pubs in the city-centre of Liverpool This one in Paradise Street and the other one on Mount Pleasant I can t help thinking that some many of the reviews on here are mistaken for the other establishment especially the more positive submissions Before the Liverpool One shopping complex was built this pub served mainly the local-regulars Scousers  Since L1 arrived things changed considerably Prices sky-rocketed and the quality of the beer descended The pint of lager I had in there recently was probably one of the most expensive served in a Liverpool pub and of the poorest quality It is obvious that most customers are now not of the area are tourists and this is the client-base that the pub now seemingly wishes to exploit  I was dumbfounded to see they had a kitchenette serving food  but with toilets that were in an extremely poor state sodden and dirty - surely there must be a hygiene certification issue here 
negative, we went for our firms christmas do so over crowded over booked we was seated in the extention area which was freezing cold  the food was poor quailty and badly cooked served on all odds and sods of crockery and cutlery the music was so loud you could not hear the person sitting next to you  All in all a terrible evening avoid at all costs if you want a pleasant evening unless your a youngster that likes head banging noise all night 
negative, Despite a cheerful waitress who managed to seat us the experience lacked any credible value for most of the food It was well overpriced by far and represented very poor value for the cost such as 11 95 for the roast  6 50 for a one piece of toast pate The fish platter was reasonable at 10 95 but 6 chips in a cup at 3 50 was also a rip-off Apart from being overcharged by a spurious 1 40 the Sunday wait of more than an hour between starter and main course was a poor do Laycock needs to offer acceptable standards of value against cost Other establishments in poorer parts of the country do far better so it can be done It s unfortunate that such an experience always catches the tourist in this case would not return 
negative,Went to bills on Monday for the first time after hearing many good things We were told as we approached the table that there was no fish at all as the delivery wasn t turning up until the afternoon With a tescos right next door I would have thought an emergency shop would have been plausible- especially as the lack of fish left the set menu with only chicken skewers or a veg option unless you were happy to pay a 5 supplement for a steak  Service was very rushed- the girl tries to run off when serving drinks despite us wanting to order we had to ask her to come back The food we had was good which was just as well as no-one came to ask how it was The experience was topped off with a 10 service charge added onto the bill- for what service We also thought it was strange that there no Xmas decorations December 1st  although the decor itself is nice 
negative, My lunch last Saturday in The Gardeners Arms - Ardingly was terrible We both ordered the Steak and Ale pie and when it arrived it was pretty obvious that the pastry was overcooked It made a sound like an over-tightened drum when I tapped it with fork After several attempts I eventually penetrated the pastry which reminded me of chiselled pieces of sandstone I did try a small piece of pie which nearly broke my tooth  The replacement chicken salad consisted of six small pieces of processed chicken divided between the two plates Everything mostly lettuce leaves was drowning in mayo Never again 
negative, Visited this bar last night after a nice meal in Chelsea I have to be honest I have never experienced such rudeness & bad service Ordered two drinks at bar with female bar member not rocket science JD & coke vodka soda & slice of lime Instead of soda we got lemonade no big deal you would think Took drink back to bar to get changed only to be met with refusal to change drink and the comment if you had asked for soda I would have served soda bar staff turned her back on me & refused to acknowledge me At this point I had to speak to a further two members of staff to speak to the manager when he had time looked at me in disgust tasted the drink changed it but did not say one word to me - talk about great service Avoid at all costs 
negative, We are totally disgusted with our Christmas dinner and we will not be going back ever again My mother who is now 76 years old was so much looking forward to the meal However the whole experience was diabolical  Below are our complaints  Not given the table we requested when ordering in September Instead the five of us were squeezed onto two small tables pushed together  Everything tasted bland Vegetables not cooked and were hard Food was barely warm No difference between boiled and roast potatoes Some roast potatoes were the size of a nut burnt to a crisp Turkey was watery Gravy was watery Christmas pudding was the size of a desert spoon and cooked in the microwave Not enough portions small amount of custard was used instead of brandy sauce Coffee was half filled in cups Waiting 20 minutes between meals  It wasn t only the food that was very bad but the whole festive atmosphere was non existent with two distracting TVs hardly any decorations and we couldn t see a Christmas tree Before going we envisaged a lovely atmosphere with carols in the background We all left behind Christmas cards with free offers to entice us back again We wouldn t go back if it was free This cost us 250 and it was nothing but a ruined heart breaking Christmas day 
negative, Tried to order home delivery twice and had order declined both times Delivery is advertised in my area 0 out of 10 for customer service Will not be using again 
negative, Have been to Bills in both Worcester and Leamington Spa - and that is the last time I shall use them  Visited the Leamington Spa branch a few months ago and there were issues - a medium steak sent back because it was very rare nothing worse than eating your re-served dinner when everyone else has finished - and the toilets absolutely stank Must admit that they did take the cost of the steak of the bill Have just revisited Bills in Leam Spa expecting the toilet smell to be resolved - but it wasn t  Also whilst the food service and d€÷cor were very good what I failed to notice until this morning whilst checking my receipts was that a 10 service charge was added to my bill I honestly never check my bill - something I will not fail to do so in the future - but I would expect to be informed of this and not just by the small print on the bill  To make it worse I also leave a tip when I get good service as found here  Just checked the menu etc on their website and there is no mention of this service charge  To summarise - don t go to Bills because the toilets stink and there is an underhand 10 service charge 
negative, First of all the guy on the till taking the orders Kelly according to the receipt needs to learn how to crack a smile Service can only be described as slow A couple of burgers and a jacket potato shouldn t take 35 minutes to arrive And you shouldn t have to chase up your cutlery and when they deliver it they need to learn how to count  They managed to mess up the burgers putting both ordered extras on one of them instead of one on each The waitress did sort that out effectively though  Burger was Angus beef Nice flavour but dry and chewy At a guess I d say the cow had just walked all the way from Aberdeen come to think of it that may explain the delay in it arriving too  Coleslaw was dry and tasteless  The missus did enjoy her jacket potato so not a total disaster but a cafe at a popular tourist attraction like this needs to be able to do better than baking an ok potato  
negative,Had a chicken curry and fried rice Curry was very bland and fairly tasteless with a stodgy rice expected something better for the money I paid to be honest If I hadn t had so far to walk I would have taken it back
negative,Although there were plenty of available tables we were told to sit in the corridor as a previous reviewer also stated  Miraculously when we challenged them a table was instantly found  The bar staff were nice enough However the famous carvery was atrocious What appeared to be bought in pre-carved meat was cold The limited vegetables were dry and tasteless The gravy was like dishwater The roast potatoes were over cooked and no mash We have eaten the length and breadth of the country but by far this was our worst culinary experience Maybe we should have inspected the food before ordering our carvery This is the first poor review I ve been compelled to write The Ship looks great from the outside but we will not be returning
